State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Buddhists,Christians,Hindus,Households_with_Telephone_Mobile_Phone_Both,Housholds_with_Electric_Lighting,Muslims,Others_Religions,Sikhs,literacy_rate,Male_literacy_rate,Female_literacy_rate,Male_ratio,Female_ratio
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,4672,1595,4463,3004240,9000,119972,213440,64,892,60.61,59.12,40.88,51.64,48.36
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1551,1866,3228,1333242,4159,57400,805975,87,900,40.41,62.76,37.24,51.88,48.12
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,1655,168,1367,1637549,3984,73522,157612,50,231,55.74,62.88,37.12,53.68,46.32
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,3159,1553,4857,2505444,7882,108116,737106,211,2090,51.9,59.71,40.29,52.35,47.65
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,15164,4371,14822,2830768,16535,272830,1536534,339,28187,49.27,61.26,38.74,53.0,47.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,3423,9753,3493,2082976,6268,108101,364510,99,900,56.56,58.81,41.19,50.93,49.07
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,7303,1736,6184,2032081,12524,268353,1585210,41,50624,57.98,58.14,41.86,52.17,47.83
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,7865,669,4088,2707195,12104,223922,777407,86,2765,58.06,61.69,38.31,52.73,47.27
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,3492,340,2153,1727869,5441,99602,215081,1175,1389,60.15,59.55,40.45,52.13,47.87
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,827,101,693,955372,2101,41046,34559,27,63,53.55,62.2,37.8,53.21,46.79
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,4469,1182,3626,2730957,7260,150001,358539,146,818,60.47,57.55,42.45,49.58,50.42
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,2635,2887,2464,1611126,4968,69591,146346,18,708,59.47,61.32,38.68,53.39,46.61
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,2964,1733,1362,1457892,5639,113098,113961,94,1045,67.14,58.72,41.28,53.47,46.53
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,4746,737,3225,2094271,8853,127754,365806,185,1912,58.72,57.78,42.22,50.98,49.02
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,2624,3161,3137,1596278,5971,88081,276846,100,3160,57.96,59.93,40.07,53.38,46.62
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,3385,172,2201,2274674,7211,75263,350700,47,402,57.44,60.24,39.76,52.6,47.4
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,5834,3395,3370,2140745,6591,196080,314812,61,1804,60.92,59.95,40.05,53.32,46.68
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,53181,895,7366,1394025,34293,257586,215500,91,9261,68.14,59.31,40.69,54.01,45.99
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,78116,3487,19026,3414427,60494,695130,1186776,265,23001,66.71,58.0,42.0,53.16,46.84
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,5309,3145,4181,3233790,10778,105767,368153,184,810,60.7,58.86,41.14,51.24,48.76
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,4313,649,4735,2739076,9762,104084,678615,57,1893,48.92,61.56,38.44,52.04,47.96
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,14597,2848,9662,4009037,17372,296619,403847,207,2123,60.81,59.03,40.97,51.29,48.71
